Incident,Time,Nature,Address
14F145797,12:06:08,63 CONTACT,4300 MAPLECREST RD & STELLHORN RD
14F145799,12:08:13,"48,36",2500 CENTRAL DR & ANTOINETTE ST
14F145798,12:08:15,46 DOMESTIC,7700 VERONA DR
14F145801,12:08:37,"46,96",1500 BOONE ST
14F145804,12:09:15,45 NEIGHBORHOOD,3100 CENTRAL DR
14F145800,12:10:02,41 MAN DOWN,1800 FAIRFIELD AVE & MASTERSON AVE
14F145802,12:14:25,911 HANG UP,5000 MADIERA DR
14F145811,12:18:29,43 DISTURBANCE,3600 ROBINWOOD DR
14F145805,12:22:46,55 FIGHT,2400 PARNELL AVE & NETTIE AVE
14F145806,12:24:11,43 DISTURBANCE,2400 CALHOUN ST S
14F145807,12:24:18,40A AUDIBLE,2100 RANSOM DR
14F145808,12:26:48,40A AUDIBLE,3100 INDEPENDENCE DR
14F145809,12:33:31,48 SUSPICIOUS,6000 ST JOE CENTER RD
14F145810,12:35:45,911 HANG UP,2800 NORTHGATE BLVD
14F145812,12:39:42,41 MAN DOWN,400 JEFFERSON BLVD W & FAIRFIELD A
14F145813,12:41:17,40A AUDIBLE,2400 STATE BLVD W
14F145814,12:42:36,64 NOT SEEN,1000 ST MARYS AVE
14F145815,12:46:53,"23,35 VAND VEH",1200 RIVERMET AVE
14F145818,12:48:52,108 FOLLOWUP,4700 JASON DR
14F145816,12:50:49,25HS HIT SKIP,6100 STELLHORN RD
14F145817,12:52:36,"33,34",2000 TAYLOR ST & BROOKLYN AVE
14F145819,12:55:19,48 SUSPICIOUS,700 DUPONT RD E
14F145830,12:55:52,43 DISTURBANCE,700 DAVIS ST
14F145820,12:56:45,45 NEIGHBORHOOD,3600 WEBSTER ST
14F145821,12:58:16,911 HANG UP,1300 WOODBINE PL
14F145844,13:02:43,109 DUMPING,2500 HILLEGAS RD
14F145822,13:06:55,40L LISTENING,800 COTTAGE AVE
14F145823,13:07:32,103 UNWANTED,1000 COLISEUM BLVD N
14F145824,13:09:06,25 PD ACCIDENT,300 WASHINGTON CENTER RD W & INDUS
14F145825,13:12:48,40A AUDIBLE,3600 INDEPENDENCE DR
14F145826,13:15:25,51 THEFT,100 WAYNE ST E
14F145827,13:19:10,"48,36",2000 BROOKLYN AVE & TAYLOR ST
14F145870,13:19:54,108 FOLLOWUP,5500 BRAZO LN
14F145838,13:20:04,43 DISTURBANCE,2200 BROWN ST
14F145828,13:24:07,50 BURGLARY,7500 WOODBINE AVE
14F145829,13:30:35,43 DISTURBANCE,4700 WILLOW BROOK DR
14F145848,13:34:07,17 MOTOR CHECK,2800 HANNA ST S
14F145831,13:35:05,65T SUICIDE THR,1400 COLUMBIA AVE
14F145835,13:39:10,15 ASSIST,3000 ADAMS ST
14F145832,13:42:58,23JO,3500 COLISEUM BLVD W
14F145833,13:48:25,911 HANG UP,1400 HUESTIS AVE
14F145841,13:50:03,34 TRAFF HAZARD,10100 COLDWATER RD & WOODLAND PLAZ
14F145837,13:51:24,66 MENTALLY ILL,400 JEFFERSON BLVD W
14F145839,13:51:44,"33,34",30300 I 69 SB
14F145836,13:52:40,25HS HIT SKIP,1200 ANTHONY BLVD N
14F145843,13:59:44,50 BURGLARY,2500 LAFAYETTE ST S
14F145840,14:02:52,129,900 CARIBE BLVD
14F145842,14:05:09,30 TRAFFIC STOP,100 JEFFERSON BLVD E & CALHOUN ST
14F145845,14:08:02,129,7700 PREAKNESS CV
14F145846,14:08:44,40A AUDIBLE,4400 WASHINGTON CENTER RD W
14F145847,14:11:02,23 VANDALISM,5700 EVARD RD
14F145849,14:17:14,51JO,5300 COLDWATER RD
14F145850,14:18:10,911 HANG UP,3200 BROADWAY
14F145851,14:19:15,911 HANG UP,2200 SHERMAN BLVD
14F145853,14:22:29,25 PD ACCIDENT,4600 COLDWATER RD
14F145852,14:22:59,43 DISTURBANCE,5300 FERNWOOD AVE
14F145855,14:39:21,129,4300 HOMESTEAD RD
14F145859,14:40:10,39U UNAUTHORIZE,00 MAIN ST E
14F145858,14:42:15,19 ESCORT,2200 RANDALLIA DR
14F145856,14:42:36,25 PD ACCIDENT,800 COLISEUM BLVD N
14F145857,14:43:51,22RN RUNAWAY,300 KILLEA ST
14F145889,14:52:22,"46,96",1500 CASS ST
14F145860,14:53:48,129,6200 HYSTONE DR & DECATUR RD
14F145861,14:54:07,"33,34",3400 SUBURBAN DR & SOUTHBEND DR
14F145862,14:56:31,40A AUDIBLE,3100 PLAZA DR
14F145864,14:59:49,911 HANG UP,500 CLAYTON AVE
14F145863,15:00:30,26 PI ACCIDENT,4100 COLDWATER RD
14F145865,15:09:17,23 VANDALISM,6100 BUNT DR
