Incident,Time,Nature,Address
14F144134,13:31:49,911 HANG UP,200 THIRD ST
14F144136,13:34:50,30 TRAFFIC STOP,4100 HOMESTEAD RD & ABOITE CENTER
14F144137,13:35:42,25 PD ACCIDENT,4700 OXFORD ST & MEYER RD
14F144149,13:39:33,47 REMOVE ITEMS,4100 SENICA DR
14F144148,13:39:34,46 DOMESTIC,800 HUESTIS AVE & MINER ST
14F144139,13:42:30,911 HANG UP,3600 AMULET DR
14F144138,13:42:39,26 PI ACCIDENT,2000 ST MARYS AVE
14F144140,13:45:15,51 THEFT,3000 BRACEBRIDGE PL
14F144141,13:52:07,65T SUICIDE THR,4800 SMITH ST
14F144142,13:55:38,43 DISTURBANCE,600 WALNUT ST
14F144143,13:58:15,16V PICKUP VID,00 MAIN ST E
14F144144,13:58:30,129,1100 LUDWIG RD W
14F144145,13:58:40,40A AUDIBLE,7800 STELLHORN RD
14F144147,14:00:42,48 SUSPICIOUS,1600 VANCE AVE
14F144150,14:04:33,34 TRAFF HAZARD,5700 HOMESTEAD RD & LIBERTY MILLS
14F144151,14:10:02,16V PICKUP VID,00 MAIN ST E
14F144154,14:15:16,43 DISTURBANCE,2700 WASHINGTON CENTER RD W
14F144152,14:15:40,26 PI ACCIDENT,800 STATE BLVD W & SHERMAN BLVD
14F144153,14:20:50,43 DISTURBANCE,300 WILLIAMS ST W & HOAGLAND AVE
14F144155,14:23:04,911 HANG UP,4900 WILLOW BROOK DR
14F144156,14:28:10,14 WARRANT,7300 DECATUR RD
14F144157,14:28:39,18 WORK TRAFFIC,1200 GLENCARIN BLVD & ILLINOIS RD
14F144168,14:29:35,46 DOMESTIC,5700 FAIRFIELD AVE
14F144158,14:37:10,1 MEET,2500 BROOKLYN AVE
14F144161,14:43:27,46 DOMESTIC,400 WIEBKE ST
14F144159,14:43:52,25 PD ACCIDENT,1200 THOMAS RD S & ILLINOIS RD
14F144160,14:44:19,96 BATTERY,3300 PINEY CREEK DR
14F144162,14:46:24,80 CIVIL INVEST,600 DEWALD ST W
14F144165,14:49:57,39R STOLEN RECO,2800 MAULDIN DR
14F144163,14:50:30,51 THEFT,900 LIBRARY PLAZA
14F144164,14:51:39,25 PD ACCIDENT,400 JEFFERSON BLVD E & CLAY ST
14F144166,14:56:23,25 PD ACCIDENT,2200 CORTLAND AVE & STATE BLVD W
14F144167,14:59:14,"23,35 VAND VEH",10200 COLDWATER RD
14F144171,15:04:58,25 PD ACCIDENT,4200 CALHOUN ST S & MCKINNIE AVE
14F144170,15:05:44,46 DOMESTIC,1500 CALVERT CT
14F144169,15:05:46,1 MEET,4200 COLDWATER RD
14F144172,15:07:01,911 HANG UP,4000 ROBINWOOD DR & BAXTER ST
14F144173,15:07:12,96JO,800 SPRING ST & SHERMAN BLVD
14F144176,15:11:16,96 BATTERY,4500 SOUTHPARK DR
14F144181,15:11:22,18 WORK TRAFFIC,1000 ROCKHILL ST & JEFFERSON BLVD
14F144174,15:11:57,26 PI ACCIDENT,3800 LAFAYETTE ST S & RUDISILL BLV
14F144175,15:14:36,911 HANG UP,3400 LOWER HUNTINGTON RD
14F144177,15:16:06,83 INFO REPORT,2000 RIEDMILLER AVE
14F144178,15:16:44,25 PD ACCIDENT,300 MAIN ST E & LAFAYETTE ST S
14F144179,15:20:37,51 THEFT,1700 HARRISON ST S
14F144180,15:21:40,51 THEFT,6200 DECATUR RD
14F144182,15:25:31,101 OPEN DOOR,1600 SPRUNGER AVE
14F144185,15:27:22,34 TRAFF HAZARD,8000 COLDWATER RD
14F144183,15:29:47,103 UNWANTED,1000 TENNESSEE AVE
14F144184,15:30:28,911 HANG UP,3100 EUCLID AVE
14F144191,15:33:57,17 MOTOR CHECK,300 BRANNING AVE E
14F144187,15:38:17,103 UNWANTED,2800 HOLTON AVE
14F144188,15:40:43,1 MEET,1400 CALHOUN ST S & BAKER ST E
14F144192,15:45:48,25 PD ACCIDENT,3700 CRESCENT AVE & COLISEUM BLVD
14F144190,15:47:22,911 HANG UP,1100 WABASH AVE
14F144189,15:48:07,911 HANG UP,900 WASHINGTON BLVD E
14F144193,15:52:16,911 HANG UP,2000 ST MARYS AVE & MARGARET AVE
14F144195,15:53:43,11C CAGE CAR,3300 PAULDING RD E
14F144194,15:57:09,113 SHOTS FIRED,600 FLORENCE AVE
14F144196,16:01:23,28 DUI,3300 WASHINGTON CENTER RD W & NORT
14F144201,16:04:05,34 TRAFF HAZARD,1000 CHARLOTTE AVE & KENTUCKY AVE
14F144197,16:05:41,51 THEFT,10100 LIMA RD
14F144199,16:06:30,25HS HIT SKIP,3500 ARDMORE AVE & NUTTMAN AVE
14F144198,16:08:05,1 MEET,4200 LIMA RD
14F144200,16:08:20,20 PROBLEM UNK,2300 DALE DR
14F144202,16:15:58,25 PD ACCIDENT,700 TILL RD E & COLDWATER RD
14F144205,16:19:26,17 MOTOR CHECK,100 CAPERIOLE PL
14F144203,16:29:49,25HS HIT SKIP,2700 CANTERBURY BLVD
14F144204,16:35:35,129,00 MAIN ST E
14F144206,16:45:45,"46,62",1900 FOX POINT TRL
14F144208,16:47:20,911 HANG UP,2700 LAFAYETTE ST S
14F144207,16:50:46,129,3900 MCKINNIE AVE
14F144210,16:53:21,25 PD ACCIDENT,31100 I 69 NB
14F144209,16:53:28,40A AUDIBLE,1000 SHERMAN BLVD
14F144211,16:56:07,15 ASSIST,100 CAMPUS DR W
14F144212,16:58:26,911 HANG UP,3900 MEYER RD
14F144213,17:03:15,25HS HIT SKIP,4200 ANTHONY BLVD S & MCKINNIE AVE
14F144214,17:08:25,30 TRAFFIC STOP,3500 ABBOTT ST & OXFORD ST
14F144215,17:09:21,96 BATTERY,4600 HEATHERWIND DR
14F144217,17:11:54,46 DOMESTIC,4600 HOLTON AVE
14F144216,17:15:16,911 HANG UP,1400 BROADWAY
14F144219,17:17:57,22RN RUNAWAY,6900 TRIER RD
